id,title,description,activity_type,event_at,created_at,updated_at,club_id
4,2014-2학기 이벤트,2014년 2학기 서울대학교 해비타트의 이벤트 내역입니다.,,2014-11-15 17:00:27 +0900,2014-11-15 17:00:27 +0900,2014-11-15 17:00:28 +0900,1
5,서울여대 가구만들기,10월 26일(일) 서울여대 가구만들기,,2014-10-26 11:47:25 +0900,2014-10-23 11:47:25 +0900,2014-10-23 11:47:25 +0900,1
6,자체 벽화 봉사 안내,11월 15일 (토) 자체 벽화 봉사 안내,,2014-11-15 17:00:27 +0900,2014-10-23 09:43:07 +0900,2014-10-23 09:43:07 +0900,1
7,11차 가구만들기,11월 22일 (토) 11차 가구만들기,,2014-11-22 17:00:27 +0900,2014-10-23 09:50:16 +0900,2014-10-23 09:50:16 +0900,1
8,진주지회 건축봉사,11월 15일 (토) 진주지회 건축봉사,,2014-11-15 17:00:27 +0900,2014-10-23 09:48:49 +0900,2014-10-23 09:48:49 +0900,1
9,건강차 만들기 봉사,12월 12일 (금) 건강차 만들기 봉사,,2014-12-12 17:00:27 +0900,2014-10-23 09:51:56 +0900,2014-10-23 09:51:56 +0900,1
10,재능기부데이,11월 8일(토) 재능기부데이 참여,,2014-11-8 17:00:27 +0900,2014-10-30 12:47:33 +0900,2014-10-30 12:47:33 +0900,1
12,연탄나눔봉사,11월 14일(금) 연탄나눔봉사,,2014-11-14 17:00:27 +0900,2014-11-03 13:27:33 +0900,2014-11-03 13:27:33 +0900,1
13,중구 집고치기 봉사,11월 15일 (토) 중구 집고치기 봉사,,2014-11-15 17:00:27 +0900,2014-11-03 13:33:48 +0900,2014-11-03 13:33:48 +0900,1
